tablet_num	relation_type	subject	object	providence	period	dates_referenced	subject_tag	object_tag
P142788	person:delivers_animal  	ARAD2-mu	sila4	 Puzriš-Dagan (mod. Drehem)	 Ur III (ca. 2100-2000 BC)	 Šū-Suen.04.--.15 (us2 year)	PN	ANIM
P142790	person:delivers_animal  	szesz-kal-la	masz-da3	 Puzriš-Dagan (mod. Drehem)	 Ur III (ca. 2100-2000 BC)	 Šulgi.42.11.19	PN	ANIM
P249019	person:receives_animal  	masz2	ur-{d}suen	 Puzriš-Dagan (mod. Drehem)	 Ur III (ca. 2100-2000 BC)	 Ibbi-Suen.02.05.00	ANIM	PN
P330393	person:delivers_animal  	szar-ru-um-ba-ni	sila4	 Puzriš-Dagan (mod. Drehem)	 Ur III (ca. 2100-2000 BC)	 --.--.--.--	PN	ANIM
P330633	person:delivers_animal  	lu2-{d}nanna	sila4	 Puzriš-Dagan (mod. Drehem) ?	 Ur III (ca. 2100-2000 BC)	 Amar-Suen.08.08.23	PN	ANIM
P100211	person:receives_animal  	sila4	ur-nigar{gar}	 Puzriš-Dagan (mod. Drehem)	 Ur III (ca. 2100-2000 BC)	 Šulgi.43.09.00	ANIM	PN
P100214	person:delivers_animal  	ARAD2-mu	sila4	 Puzriš-Dagan (mod. Drehem)	 Ur III (ca. 2100-2000 BC)	 Amar-Suen.09.11.19	PN	ANIM
P100265	person:receives_animal  	sila4	ur-nigar{gar}	 Puzriš-Dagan (mod. Drehem)	 Ur III (ca. 2100-2000 BC)	 Amar-Suen.01.11.08	ANIM	PN
P145528	person:delivers_animal  	ur-nigar{gar}	masz2	 Puzriš-Dagan (mod. Drehem)	 Ur III (ca. 2100-2000 BC)	 Amar-Suen.03.10.23	PN	ANIM
P145526	person:delivers_animal  	ARAD2-mu	sila4	 Puzriš-Dagan (mod. Drehem)	 Ur III (ca. 2100-2000 BC)	 Šū-Suen.03.04.00 (us2 year)	PN	ANIM
P100337	person:receives_animal  	sila4	ur-nigar{gar}	 Puzriš-Dagan (mod. Drehem)	 Ur III (ca. 2100-2000 BC)	 Amar-Suen.02.08.00	ANIM	PN
P123489	person:delivers_animal  	ARAD2-mu	sila4	 Puzriš-Dagan (mod. Drehem)	 Ur III (ca. 2100-2000 BC)	 Šulgi.45.07.03 (us2 year)	PN	ANIM
P100972	person:delivers_animal  	e2-a-i3-li2	masz-da3	 Puzriš-Dagan (mod. Drehem)	 Ur III (ca. 2100-2000 BC)	 Šulgi.46.04.18	PN	ANIM
P429942	person:delivers_animal  	szu-ru-usz-ki-in	sila4	 Puzriš-Dagan (mod. Drehem)	 Ur III (ca. 2100-2000 BC)	 Amar-Suen.05.04.00	PN	ANIM
P101413	person:receives_animal  	sila4	ur-nigar{gar}	 Puzriš-Dagan (mod. Drehem)	 Ur III (ca. 2100-2000 BC)	 Šulgi.47.00.00 (us2 year)	ANIM	PN
P101416	person:receives_animal  	masz2	ur-nigar{gar}	 Puzriš-Dagan (mod. Drehem)	 Ur III (ca. 2100-2000 BC)	 Šulgi.47.04.10 (us2 year)	ANIM	PN
P101434	person:receives_animal  	sila4	ur-nigar{gar}	 Puzriš-Dagan (mod. Drehem)	 Ur III (ca. 2100-2000 BC)	 Šū-Suen.08.05.00	ANIM	PN
P101445	person:delivers_animal  	e2-a-i3-li2	sila4	 Puzriš-Dagan (mod. Drehem)	 Ur III (ca. 2100-2000 BC)	 Šulgi.46.11.21	PN	ANIM
P101770	person:receives_animal  	masz2	ur-nigar{gar}	 Puzriš-Dagan (mod. Drehem)	 Ur III (ca. 2100-2000 BC)	 Šulgi.47.08.09 (us2 year)	ANIM	PN
P465833	person:delivers_animal  	ur-{d}en-lil2-la2	sila4	 Puzriš-Dagan (mod. Drehem)	 Ur III (ca. 2100-2000 BC)	 Amar-Suen.06.10.14	PN	ANIM
P102188	person:receives_animal  	masz-da3	ur-nigar{gar}	 Puzriš-Dagan (mod. Drehem)	 Ur III (ca. 2100-2000 BC)	 Amar-Suen.05.12.19	ANIM	PN
P102343	person:delivers_animal  	e2-a-i3-li2	masz-da3	 Puzriš-Dagan (mod. Drehem)	 Ur III (ca. 2100-2000 BC)	 Amar-Suen.02.02.29	PN	ANIM
P102446	person:receives_animal  	sila4	ur-nigar{gar}	 Puzriš-Dagan (mod. Drehem)	 Ur III (ca. 2100-2000 BC)	 Amar-Suen.01.07.05	ANIM	PN
P330239	person:delivers_animal  	lu2-bala-sa6-ga	sila4	 Puzriš-Dagan (mod. Drehem)	 Ur III (ca. 2100-2000 BC)	 Šulgi.47.12.28 (us2 year)	PN	ANIM
P102699	person:receives_animal  	masz-da3	ur-nigar{gar}	 Puzriš-Dagan (mod. Drehem)	 Ur III (ca. 2100-2000 BC)	 Šulgi.47.09.00 (us2 year)	ANIM	PN
P102703	person:receives_animal  	masz-da3	ur-nigar{gar}	 Puzriš-Dagan (mod. Drehem)	 Ur III (ca. 2100-2000 BC)	 Amar-Suen.01.06.21	ANIM	PN
P102820	person:receives_animal  	masz2	ur-nigar{gar}	 Puzriš-Dagan (mod. Drehem)	 Ur III (ca. 2100-2000 BC)	 Amar-Suen.02.10.04	ANIM	PN
P103087	person:receives_animal  	{ansze}kunga2	lu2-bala-sa6-ga	 Puzriš-Dagan (mod. Drehem)	 Ur III (ca. 2100-2000 BC)	 Amar-Suen.08.01.28	ANIM	PN
P103304	person:receives_animal  	masz2	ur-nigar{gar}	 Puzriš-Dagan (mod. Drehem)	 Ur III (ca. 2100-2000 BC)	 Šulgi.45.06.00	ANIM	PN
P103346	person:receives_animal  	gukkal	ur-nigar{gar}	 Puzriš-Dagan (mod. Drehem)	 Ur III (ca. 2100-2000 BC)	 Amar-Suen.09.12.00	ANIM	PN
P103463	person:receives_animal  	sila4	ur-nigar{gar}	 Puzriš-Dagan (mod. Drehem)	 Ur III (ca. 2100-2000 BC)	 Amar-Suen.02.09.22	ANIM	PN
P103475	person:receives_animal  	masz-da3	ur-nigar{gar}	 Puzriš-Dagan (mod. Drehem)	 Ur III (ca. 2100-2000 BC)	 Šulgi.46.04.00	ANIM	PN
P103533	person:receives_animal  	sila4	ur-nigar{gar}	 Puzriš-Dagan (mod. Drehem)	 Ur III (ca. 2100-2000 BC)	 Amar-Suen.09.06.23	ANIM	PN
P103788	person:receives_animal  	masz2	ur-nigar{gar}	 Puzriš-Dagan (mod. Drehem)	 Ur III (ca. 2100-2000 BC)	 Amar-Suen.04.10m.13 (intercalated)	ANIM	PN
P103859	person:delivers_animal  	zabar-dab5	sila4	 Puzriš-Dagan (mod. Drehem)	 Ur III (ca. 2100-2000 BC)	 Amar-Suen.03.00.00	PN	ANIM
P104014	person:receives_animal  	gukkal	ur-nigar{gar}	 Puzriš-Dagan (mod. Drehem)	 Ur III (ca. 2100-2000 BC)	 Amar-Suen.09.03.20	ANIM	PN
P104032	person:delivers_animal  	ur-nigar{gar}	sila4	 Puzriš-Dagan (mod. Drehem)	 Ur III (ca. 2100-2000 BC)	 Amar-Suen.04.10.16	PN	ANIM
P104069	person:delivers_animal  	lugal-nir-gal2	masz-da3	 Puzriš-Dagan (mod. Drehem) ?	 Ur III (ca. 2100-2000 BC)	 Šū-Suen.02.07.00 (us2 year)	PN	ANIM
P104436	person:delivers_animal  	ARAD2-mu	sila4	 Puzriš-Dagan (mod. Drehem)	 Ur III (ca. 2100-2000 BC)	 Amar-Suen.07.09.00	PN	ANIM
P104476	person:has_son	szesz-kal-la	ur-nigar	 Puzriš-Dagan (mod. Drehem)	 Ur III (ca. 2100-2000 BC)	 Šū-Suen.01.02.08	PN_1	PN_2
P464281	person:receives_animal  	sila4	ur-nigar{gar}	 Puzriš-Dagan (mod. Drehem)	 Ur III (ca. 2100-2000 BC)	 Amar-Suen.08.06.13	ANIM	PN
